id,site_eui
75757,286.0235988
75758,221.0748136
75759,264.5547586
75760,259.0874551
75761,264.0781143
75762,261.3742137
75763,251.5923525
75764,267.9784222
75765,176.1064983
75766,301.3277489
75767,218.4255261
75768,175.6510031
75769,171.5978518
75770,157.9335101
75771,140.1761917
75772,264.9674631
75773,256.5068055
75774,177.3469588
75775,283.7120118
75776,268.7981597
75777,226.7599071
75778,295.3306535
75779,254.0675816
75780,287.0939907
75781,247.1011669
75782,224.7831772
75783,258.4719732
75784,141.9538313
75785,193.5828938
75786,290.4660564
75787,234.285787
75788,239.79174
75789,251.4328351
75790,290.2240683
75791,188.2746406
75792,239.8344743
75793,225.1629513
75794,256.1589879
75795,229.5422322
75796,212.0806027
75797,287.272846
75798,271.18297
75799,263.036523
75800,191.3438052
75801,286.8085833
75802,253.3483892
75803,233.7474115
75804,256.3020764
75805,238.0250966
75806,249.1909486
75807,154.6766248
75808,203.4683343
75809,144.3668446
75810,149.8664515
75811,262.8276557
75812,172.9882908
75813,287.5314642
75814,297.9406982
75815,288.6709536
75816,345.4922436
75817,144.4670089
75818,278.9828391
75819,297.2097497
75820,304.5337812
75821,192.3660194
75822,183.0634694
75823,197.6520254
75824,110.7082559
75825,261.9168557
75826,164.6587965
75827,69.02308336
75828,65.76098126
75829,71.01613935
75830,70.5532363
75831,85.3691451
75832,92.21436339
75833,89.85342086
75834,110.34911
75835,100.8414533
75836,50.11663046
75837,48.59573747
75838,44.08034739
75839,35.01742214
75840,72.23469188
75841,151.5110311
75842,95.78380075
75843,50.54040226
75844,63.35844228
75845,145.7589689
75846,90.19544942
75847,58.84785046
75848,39.95184221
75849,59.06316827
75850,100.3453531
75851,73.22017755
75852,97.62241417
75853,71.95281529
75854,118.6100953
75855,55.01085432
75856,61.63708345
75857,56.93540649
75858,43.19396863
75859,56.55933483
75860,52.39142256
75861,70.18997231
75862,20.49488281
75863,37.27381155
75864,18.08277332
75865,32.9940033
75866,31.68047905
75867,22.33666499
75868,22.33709285
75869,16.55742855
75870,66.70039424
75871,58.14928171
75872,91.50780941
75873,86.74187499
75874,52.97247361
75875,89.06399551
75876,44.81844737
75877,41.99101479
75878,43.77456561
75879,54.74734477
75880,82.46801077
75881,87.93847982
75882,88.10680627
75883,174.5864723
75884,86.37797432
75885,106.6477758
75886,11.87645517
